Stock,Rank,Latest_Price,1M_Return_Normalized,3M_Return_Normalized,6M_Return_Normalized,Strength_Score_Normalized,20_MA,20_MAV,Liquidity
FINEORG,920,4953.3134765625,48.0,18.0,4.0,18.0,4598.225732421875,80489.7,370109809.734917
ROUTE,921,1652.9227294921875,44.0,20.0,4.0,17.0,1567.641796875,174126.65,272968214.4898242
TPLPLASTEH,922,50.88539123535156,36.0,20.0,5.0,17.0,52.347416687011716,232223.65,12156308.171128768
SAMHI,923,172.6999969482422,38.0,21.0,5.0,17.0,173.425,751184.6,130274189.25500001
TIMKEN,924,3229.999267578125,42.0,19.0,4.0,17.0,3189.5068115234376,57851.55,184517912.78218874
VALIANTORG,925,508.8999938964844,44.0,20.0,4.0,17.0,484.8300018310547,98572.35,47790832.63099137
BODALCHEM,926,82.9000015258789,43.0,18.0,4.0,17.0,80.51749954223632,986438.7,79425577.57569419
RPGLIFE,927,1319.84521484375,37.0,19.0,6.0,17.0,1344.9778198242188,17501.9,23539667.304781497
REPCOHOME,928,405.75091552734375,40.0,19.0,5.0,17.0,395.8694137573242,151685.0,60047452.025779724
RUCHIRA,929,128.92124938964844,43.0,17.0,5.0,17.0,126.77013854980468,101860.3,12912844.34372467
VENKEYS,930,1954.875,39.0,18.0,5.0,17.0,1945.182391357422,33593.35,65345192.886706844
UCOBANK,931,39.78440856933594,40.0,16.0,6.0,17.0,39.77197551727295,19963565.15,793990424.3832834
ZAGGLE,932,217.3000030517578,34.0,21.0,6.0,17.0,232.46999893188476,729363.9,169555225.05395532
RUPA,933,271.9135437011719,41.0,19.0,4.0,17.0,266.4346755981445,282903.45,75375288.9263459
DIAMINESQ,934,542.4710693359375,42.0,19.0,4.0,17.0,522.0917022705078,32690.15,17067256.06097824
KALAMANDIR,935,285.45697021484375,37.0,22.0,5.0,17.0,281.36231994628906,614196.25,172811681.80231094
APCL,936,212.1000061035156,38.0,21.0,5.0,17.0,217.94249801635743,55162.5,12022253.046827316
UNIPARTS,937,550.141357421875,43.0,18.0,4.0,17.0,525.0089431762696,183496.25,96337172.28930855
ABB,938,4659.1962890625,41.0,21.0,4.0,17.0,4721.712622070312,281403.6,1328706930.016025
APEX,939,223.3838653564453,42.0,18.0,4.0,17.0,217.72736129760742,120919.6,26327505.437162172
TVTODAY,940,210.4922637939453,42.0,18.0,4.0,17.0,206.82184143066405,193246.35,39967565.95675461
